기관명,시설유형,소재지도로명주소,위도,경도,전화번호,팩스번호,설치일자,설치주체,데이터기준일자
(주)가호노인복지센터,노인요양공동생활가정,"대구광역시 북구 동북로 263, 6층 (복현동)",35.89436535,128.6196303,053-219-4470,053-952-4470,2019-12-06,법인,2025-01-24
플러스마실요양원,노인요양시설,대구광역시 북구 학정로42길 26-24 (구암동),35.92504058,128.5584463,053-242-4939,052-242-2331,2021-07-30,개인,2025-01-24
e-편한요양센터,노인요양시설,대구광역시 북구 칠곡중앙대로 426 (읍내동),35.93365613,128.5489206,053-741-8899,053-313-3334,2011-08-12,개인,2025-01-24
e-햇살복지센터,노인요양공동생활가정,대구광역시 북구 학정로42길 22-21 (구암동),35.92549339,128.557984,053-313-1136,053-313-1139,2012-09-13,개인,2025-01-24
가가호호노인복지센터,노인요양공동생활가정,대구광역시 북구 관음중앙로 167 (읍내동),35.94513149,128.5505298,053-561-2100,053-326-0234,2017-10-01,개인,2025-01-24
가람노인복지센터1,노인요양공동생활가정,"대구광역시 북구 팔거천동로 210, 7층 (동천동)",35.94269732,128.5584488,053-327-2005,053-327-2006,2019-05-01,개인,2025-01-24
가람노인복지센터2,노인요양공동생활가정,"대구광역시 북구 팔거천동로 210, 7층 (동천동)",35.94269732,128.5584488,053-314-3351,053-327-2006,2019-05-01,개인,2025-01-24
강북실버타운,노인요양시설,대구광역시 북구 칠곡중앙대로 525 (읍내동),35.94254536,128.5503899,053-322-8801,053-326-8801,2014-12-23,개인,2025-01-24
강북요양원,노인요양시설,"대구광역시 북구 팔거천동로 206, 4층,5층 (동천동)",35.94241808,128.5584136,053-313-0691,053-321-0690,2019-11-28,개인,2025-01-24
강산노인요양센터,노인요양공동생활가정,대구광역시 북구 대현로 69-1 (대현동),35.88375709,128.6072536,053-944-6301,053-944-6302,2013-11-08,개인,2025-01-24
굿모닝효요양원,노인요양시설,대구광역시 북구 침산남로13길 30 (침산동),35.89059713,128.580202,053-351-0775,053-637-7530,2022-12-01,개인,2025-01-24
나비복현요양센터,노인요양공동생활가정,"대구광역시 북구 복현로 71, 112(상가)동 4층 404호 (복현동, 복현블루밍브라운스톤 명문세가아파트)",35.89849,128.6224,053-943-8785,053-943-8789,2020-01-01,개인,2025-01-24
뉴강북재활요양센터,노인요양공동생활가정,"대구광역시 북구 학정로 419, 601호 (동천동)",35.94210797,128.5630444,053-325-8889,053-313-3337,2021-07-30,개인,2025-01-24
늘봄요양원,노인요양시설,대구광역시 북구 옥산로17길 47-1 (침산동),35.888614,128.5857696,053-353-1188,053-353-1189,2022-04-01,개인,2025-01-24
대경장기요양기관,노인요양시설,대구광역시 북구 칠곡중앙대로 508 (읍내동),35.94077803,128.5505549,053-325-5979,053-325-5974,2009-07-31,법인,2025-01-24
대구요양원,노인요양공동생활가정,"대구광역시 북구 호국로51길 5-7, 2층 (서변동)",35.92418839,128.598654,053-939-4567,053-939-4568,2014-10-01,개인,2025-01-24
대구케어요양원,노인요양시설,"대구광역시 북구 침산남로 96 (침산동, 7,8층)",35.88896317,128.5862485,053-341-3526,053-341-3527,2018-09-01,개인,2025-01-24
대구탑노인전문요양원,노인요양시설,대구광역시 북구 칠곡중앙대로 447 (관음동),35.93558641,128.5486015,053-326-8899,053-323-9987,2020-03-01,개인,2025-01-24
동서변실버타운,노인요양시설,대구광역시 북구 동변로20길 26 (동변동),35.92253,128.6016,053-954-0301,053-954-0302,2023-04-01,법인,2025-01-24
미래효요양원,노인요양공동생활가정,"대구광역시 북구 칠곡중앙대로 254, 3층 (태전동)",35.91859926,128.5480185,053-314-0006,053-314-0090,2017-09-01,개인,2025-01-24
미래효요양원2,노인요양공동생활가정,대구광역시 북구 칠곡중앙대로 254 (태전동),35.91859926,128.5480185,053-314-0006,053-314-0090,2017-09-01,개인,2025-01-24
복음실버타운,노인요양시설,대구광역시 북구 칠곡중앙대로77길 14 (태전동),35.93087223,128.546696,053-323-9343,053-323-9313,2008-06-10,법인,2025-01-24
봄꽃요양원,노인요양시설,대구광역시 북구 연암로22길 16 (산격동),35.89356215,128.5960095,053-951-1001,053-951-1008,2023-02-20,개인,2025-01-24
부모사랑요양원,노인요양공동생활가정,대구광역시 북구 칠곡중앙대로91길 28 (관음동),35.93676168,128.54585,053-326-6349,053-326-6009,2011-02-07,개인,2025-01-24
사랑모아실버타운,노인요양시설,"대구광역시 북구 도남중앙로9길 1, 3~4층 (국우동)",35.98291,128.58338,053-324-9988,053-325-8055,2019-04-01,개인,2025-01-24
사랑요양복지센터,노인요양공동생활가정,"대구광역시 북구 침산남로 176, 4층 (침산동)",35.88737126,128.5946988,053-351-0361,053-352-0362,2021-12-01,개인,2025-01-24
상록수재활복지센터1,노인요양공동생활가정,대구광역시 북구 동천로 125-16 (동천동),35.9432801,128.5591069,053-324-2522,053-264-0053,2012-07-01,개인,2025-01-24
새볕실버빌,노인요양시설,대구광역시 북구 영송로 36-6 (태전동),35.92832558,128.5458029,053-314-0800,053-314-0810,2010-12-28,법인,2025-01-24
새봄더케어실버타운,노인요양공동생활가정,"대구광역시 북구 호국로 215, 403호 (서변동, 대성골든프라자2차)",35.92086173,128.5988172,053-952-5535,053-951-1230,2020-06-01,개인,2025-01-24
