기관명,시설유형,소재지도로명주소,위도,경도,전화번호,팩스번호,설치일자,설치주체,데이터기준일자,노인복지관명,개관일자,위탁기관,시설현황,주요사업,홈페이지주소,관리기관명,관리부서명,버스_접근성(m),지하철_접근성(m),의료_접근성(m),중심성,최종점수,geometry
(주)가호노인복지센터,노인요양공동생활가정,"대구광역시 북구 동북로 263, 6층 (복현동)",35.89436535,128.6196303,053-219-4470,053-952-4470,2019-12-06,법인,2025-01-24,,,,,,,,,0.004060785183501043,0.04562308200139962,0.0003429516857237784,0.036123287914172464,0.9784624733038008,POINT (128.6196303 35.89436535)
플러스마실요양원,노인요양시설,대구광역시 북구 학정로42길 26-24 (구암동),35.92504058,128.5584463,053-242-4939,052-242-2331,2021-07-30,개인,2025-01-24,,,,,,,,,0.014481834673742859,0.020177550556925904,0.005641888562193556,0.0,0.9899246815517844,POINT (128.5584463 35.92504058)
e-편한요양센터,노인요양시설,대구광역시 북구 칠곡중앙대로 426 (읍내동),35.93365613,128.5489206,053-741-8899,053-313-3334,2011-08-12,개인,2025-01-24,,,,,,,,,0.019144699998217028,0.014426204909754487,1.0162083005136383e-05,0.010978697782603103,0.9888600588066051,POINT (128.5489206 35.93365613)
e-햇살복지센터,노인요양공동생활가정,대구광역시 북구 학정로42길 22-21 (구암동),35.92549339,128.557984,053-313-1136,053-313-1139,2012-09-13,개인,2025-01-24,,,,,,,,,0.008944930373766632,0.01882755966530881,0.004132174637371251,0.00031894193381676317,0.9919440983474341,POINT (128.557984 35.92549339)
가가호호노인복지센터,노인요양공동생활가정,대구광역시 북구 관음중앙로 167 (읍내동),35.94513149,128.5505298,053-561-2100,053-326-0234,2017-10-01,개인,2025-01-24,,,,,,,,,0.005190114107884603,0.018838691370110204,3.5398855216156617e-06,0.026359799375877402,0.9874019638151516,POINT (128.5505298 35.94513149)
가람노인복지센터1,노인요양공동생활가정,"대구광역시 북구 팔거천동로 210, 7층 (동천동)",35.94269732,128.5584488,053-327-2005,053-327-2006,2019-05-01,개인,2025-01-24,,,,,,,,,0.009773896357394011,0.0015521994711279038,7.761726783123757e-06,0.016796562945427335,0.9929673948748169,POINT (128.5584488 35.94269732)
가람노인복지센터2,노인요양공동생활가정,"대구광역시 북구 팔거천동로 210, 7층 (동천동)",35.94269732,128.5584488,053-314-3351,053-327-2006,2019-05-01,개인,2025-01-24,,,,,,,,,0.009773896357394011,0.0015521994711279038,7.761726783123757e-06,0.016796562945427335,0.9929673948748169,POINT (128.5584488 35.94269732)
강북실버타운,노인요양시설,대구광역시 북구 칠곡중앙대로 525 (읍내동),35.94254536,128.5503899,053-322-8801,053-326-8801,2014-12-23,개인,2025-01-24,,,,,,,,,0.004260122189156281,0.01948827250105834,0.0011069340643797825,0.021540080342330237,0.9884011477257688,POINT (128.5503899 35.94254536)
강북요양원,노인요양시설,"대구광역시 북구 팔거천동로 206, 4층,5층 (동천동)",35.94241808,128.5584136,053-313-0691,053-321-0690,2019-11-28,개인,2025-01-24,,,,,,,,,0.01097178756321285,0.0025181325582869516,5.3120187047325185e-06,0.016344032599119346,0.9925401838151691,POINT (128.5584136 35.94241808)
강산노인요양센터,노인요양공동생활가정,대구광역시 북구 대현로 69-1 (대현동),35.88375709,128.6072536,053-944-6301,053-944-6302,2013-11-08,개인,2025-01-24,,,,,,,,,0.0024049088395825756,0.023693625926550707,0.0030372252196944126,0.03161901746300683,0.9848113056377914,POINT (128.6072536 35.88375709)
굿모닝효요양원,노인요양시설,대구광역시 북구 침산남로13길 30 (침산동),35.89059713,128.580202,053-351-0775,053-637-7530,2022-12-01,개인,2025-01-24,,,,,,,,,0.014603345569598556,0.015988573028988637,0.004128827693973069,0.008929569492545253,0.9890874210537236,POINT (128.580202 35.89059713)
나비복현요양센터,노인요양공동생활가정,"대구광역시 북구 복현로 71, 112(상가)동 4층 404호 (복현동, 복현블루밍브라운스톤 명문세가아파트)",35.89849,128.6224,053-943-8785,053-943-8789,2020-01-01,개인,2025-01-24,,,,,,,,,0.011119326730403858,0.05210938189677193,0.00010223487925375909,0.03796464691553783,0.9746761023945082,POINT (128.6224 35.89849)
뉴강북재활요양센터,노인요양공동생활가정,"대구광역시 북구 학정로 419, 601호 (동천동)",35.94210797,128.5630444,053-325-8889,053-313-3337,2021-07-30,개인,2025-01-24,,,,,,,,,0.008991022946321514,0.011342283178010115,8.970479920394461e-06,0.015298338807781864,0.9910898461469915,POINT (128.5630444 35.94210797)
늘봄요양원,노인요양시설,대구광역시 북구 옥산로17길 47-1 (침산동),35.888614,128.5857696,053-353-1188,053-353-1189,2022-04-01,개인,2025-01-24,,,,,,,,,0.014773916210636291,0.0166749767457207,0.0011494153108319548,0.010988531709424626,0.9891032900058466,POINT (128.5857696 35.888614)
대경장기요양기관,노인요양시설,대구광역시 북구 칠곡중앙대로 508 (읍내동),35.94077803,128.5505549,053-325-5979,053-325-5974,2009-07-31,법인,2025-01-24,,,,,,,,,0.007661349934971404,0.01704171787284464,0.0004883721418078365,0.018394676825827266,0.9891034708061373,POINT (128.5505549 35.94077803)
대구요양원,노인요양공동생활가정,"대구광역시 북구 호국로51길 5-7, 2층 (서변동)",35.92418839,128.598654,053-939-4567,053-939-4568,2014-10-01,개인,2025-01-24,,,,,,,,,0.011863850151594264,0.12260836786476546,0.004490866072346188,0.010866068467248913,0.9625427118610113,POINT (128.598654 35.92418839)
대구케어요양원,노인요양시설,"대구광역시 북구 침산남로 96 (침산동, 7,8층)",35.88896317,128.5862485,053-341-3526,053-341-3527,2018-09-01,개인,2025-01-24,,,,,,,,,0.010479139822910245,0.018435554380167085,7.513942086384271e-06,0.010601024942028137,0.9901191917282021,POINT (128.5862485 35.88896317)
대구탑노인전문요양원,노인요양시설,대구광역시 북구 칠곡중앙대로 447 (관음동),35.93558641,128.5486015,053-326-8899,053-323-9987,2020-03-01,개인,2025-01-24,,,,,,,,,0.0006870612480202733,0.018506917135852535,0.0005821872440415764,0.013062002570097986,0.9917904579504969,POINT (128.5486015 35.93558641)
동서변실버타운,노인요양시설,대구광역시 북구 동변로20길 26 (동변동),35.92253,128.6016,053-954-0301,053-954-0302,2023-04-01,법인,2025-01-24,,,,,,,,,0.012218341082867536,0.1319069179818142,0.005003441855855083,0.012642698886458997,0.959557150048251,POINT (128.6016 35.92253)
미래효요양원,노인요양공동생활가정,"대구광역시 북구 칠곡중앙대로 254, 3층 (태전동)",35.91859926,128.5480185,053-314-0006,053-314-0090,2017-09-01,개인,2025-01-24,,,,,,,,,0.002470138126706571,0.0003135039616531982,0.004353591471369254,0.006993586658588569,0.9964672949454206,POINT (128.5480185 35.91859926)
미래효요양원2,노인요양공동생활가정,대구광역시 북구 칠곡중앙대로 254 (태전동),35.91859926,128.5480185,053-314-0006,053-314-0090,2017-09-01,개인,2025-01-24,,,,,,,,,0.002470138126706571,0.0003135039616531982,0.004353591471369254,0.006993586658588569,0.9964672949454206,POINT (128.5480185 35.91859926)
복음실버타운,노인요양시설,대구광역시 북구 칠곡중앙대로77길 14 (태전동),35.93087223,128.546696,053-323-9343,053-323-9313,2008-06-10,법인,2025-01-24,,,,,,,,,0.009752717531995195,0.017980771118441707,0.0023276394996472375,0.011300809820618679,0.9896595155073243,POINT (128.546696 35.93087223)
봄꽃요양원,노인요양시설,대구광역시 북구 연암로22길 16 (산격동),35.89356215,128.5960095,053-951-1001,053-951-1008,2023-02-20,개인,2025-01-24,,,,,,,,,0.014042198644848073,0.04893210167854552,0.003455427190604845,0.009951806871451085,0.9809046164036376,POINT (128.5960095 35.89356215)
